Date,Open,High,Low,Close,Volume
2020-04-01,155.4,158.4,150.7,156.65,2690175
2020-04-03,156.6,156.65,151.55,153.0,3738943
2020-04-07,154.0,160.5,153.5,159.0,6642891
2020-04-08,158.5,159.5,148.2,149.7,10421438
2020-04-09,151.2,160.6,150.75,158.8,8828432
2020-04-13,158.95,172.35,157.25,165.0,12551506
2020-04-15,167.1,173.95,167.1,168.55,9909062
2020-04-16,167.1,174.65,163.85,169.7,6792496
2020-04-17,174.0,175.5,169.4,172.95,3706603
2020-04-20,175.9,175.9,169.95,170.3,2682037
2020-04-21,167.75,169.45,164.1,167.55,2369603
2020-04-22,167.4,177.7,166.35,176.5,5333081
2020-04-23,178.5,179.5,170.4,171.45,4629630
2020-04-24,169.9,171.6,166.2,167.95,2729060
2020-04-27,170.4,174.0,168.6,172.3,4140719
2020-04-28,179.0,179.0,166.85,167.7,13325718
2020-04-29,166.9,170.75,165.65,169.5,3900474
2020-04-30,171.2,174.85,170.55,171.65,4691798
2020-05-04,167.25,169.8,161.5,162.35,4949252
2020-05-05,165.0,168.85,163.75,164.8,4097025
2020-05-06,165.6,170.55,164.5,167.85,7032456
2020-05-07,167.9,170.8,166.8,168.6,4497992
2020-05-08,170.7,172.95,168.75,169.35,3874980
2020-05-11,170.15,174.7,170.15,173.95,4258713
2020-05-12,173.5,176.3,170.65,175.2,3911751
2020-05-13,182.1,191.0,182.0,183.0,14928663
2020-05-14,181.2,184.2,178.65,182.5,2893550
2020-05-15,184.0,184.7,179.85,181.8,6194865
2020-05-18,182.0,182.45,171.0,172.15,3640919
2020-05-19,173.9,176.8,170.25,174.6,3512226
2020-05-20,174.5,181.55,172.35,179.65,2833520
2020-05-21,180.7,183.7,177.5,181.0,5097416
2020-05-22,180.0,187.85,177.2,186.95,6953579
2020-05-26,187.8,190.0,185.55,188.55,5800498
2020-05-27,189.9,189.9,185.1,187.45,3151133
2020-05-28,187.25,192.0,185.4,191.3,3704033
2020-05-29,191.0,194.9,187.0,191.55,8514156
2020-06-01,191.8,195.65,188.3,188.95,6737201
2020-06-02,189.5,193.75,188.2,191.2,4978019
2020-06-03,193.25,194.0,186.75,187.75,4719425
2020-06-04,188.15,189.25,182.05,186.75,5769947
2020-06-05,188.0,196.35,186.3,195.1,7431679
2020-06-08,198.95,198.95,190.4,191.45,4469783
2020-06-09,192.2,195.25,186.85,187.8,4252087
2020-06-10,188.1,194.35,188.1,192.0,4235763
2020-06-11,191.5,194.25,189.0,189.5,3397620
2020-06-12,181.9,194.95,181.65,193.7,5199081
2020-06-15,192.85,194.4,190.1,191.5,1996945
2020-06-16,192.6,198.4,187.8,190.6,5481825
2020-06-17,188.55,191.5,185.35,187.15,3190009
2020-06-18,187.2,189.0,185.7,187.35,3259969
2020-06-19,188.4,194.0,187.55,190.8,7723563
2020-06-22,191.45,193.3,190.55,191.1,2478247
2020-06-23,191.8,196.2,191.1,193.25,4619623
2020-06-24,194.25,198.2,186.4,188.7,6600983
2020-06-25,188.1,191.35,185.35,186.25,4479141
2020-06-26,188.0,188.7,186.15,188.0,3304712
2020-06-29,188.0,188.65,183.2,187.55,3555861
2020-06-30,187.65,194.95,187.65,193.6,6482253
2020-07-01,194.15,195.7,190.4,192.2,2867676
2020-07-02,192.7,196.4,192.05,193.7,2693250
2020-07-03,194.6,196.25,192.05,195.8,4168369
2020-07-06,197.75,198.0,193.35,193.9,2632304
2020-07-07,194.6,194.6,191.1,193.25,2551746
2020-07-08,194.25,196.6,192.8,195.55,3253882
2020-07-09,196.4,202.9,195.6,202.0,8857515
2020-07-10,202.2,204.35,196.5,197.2,6643796
2020-07-13,197.2,199.7,193.75,198.45,5213446
2020-07-14,197.85,199.2,190.0,190.5,4391974
2020-07-15,192.5,193.25,187.7,188.65,4521290
2020-07-16,189.45,193.0,185.7,192.5,3137669
2020-07-17,193.1,195.6,191.3,193.45,3254870
2020-07-20,195.0,197.0,194.5,195.7,2204860
2020-07-21,201.0,208.0,200.0,204.95,12976657
2020-07-22,204.95,204.95,199.1,200.9,3320086
2020-07-23,201.5,202.25,197.25,197.95,3302917
2020-07-24,197.95,202.5,196.5,200.95,5135305
